y_b,z_t,theta_x_p
0.6831289751142655,0.07416249128636904,-1.5162869405451138
0.6831289751142655,0.07416249128636904,-1.5162869405451138
0.6831289751142655,0.07416249128636904,-1.5162869405451138
0.6831289751142655,0.07416249128636904,-1.5162869405451138
0.3347066844871929,0.08446417718599096,-1.5380443430590258
0.139674793368129,0.09773226034766244,-1.5568228819527596
0.139674793368129,0.09773226034766244,-1.5568228819527596
0.139674793368129,0.09773226034766244,-1.5568228819527596
0.139674793368129,0.09773226034766244,-1.5568228819527596
0.139674793368129,0.09773226034766244,-1.5568228819527596
