y_b,z_t,theta_y_p
0.023951343056863583,0.047997875898749626,-1.519540831978085
0.023951343056863583,0.047997875898749626,-1.519540831978085
0.023951343056863583,0.047997875898749626,-1.519540831978085
0.023951343056863583,0.047997875898749626,-1.519540831978085
0.023951343056863583,0.047997875898749626,-1.519540831978085
0.5558169411886349,0.014521808933483593,-1.5527936119239627
0.5558169411886349,0.014521808933483593,-1.5527936119239627
0.5558169411886349,0.014521808933483593,-1.5527936119239627
0.5558169411886349,0.014521808933483593,-1.5527936119239627
0.5558169411886349,0.014521808933483593,-1.5527936119239627
0.5558169411886349,0.014521808933483593,-1.5527936119239627
