ind_0,ind_1,ind_2
"[1, 1000, 1000]","[1, 1000, 1000]","[0, 1, 1]"
"[0, 0, 0]","[1, 1000, 1000]","[1, 1000, 1000]"
"[1, 1000, 1000]","[1, 1000, 1000]","[1, 1000, 1000]"
"[0, 1, 1]","[1, 1000, 1000]","[1, 1000, 1000]"
"[0, 1, 1]","[1, 1000, 1000]","[1, 1000, 1000]"
"[1, 1000, 1000]","[0, 1, 1]","[1, 1000, 1000]"
"[1, 1000, 1000]","[1, 1000, 1000]","[0, 1, 1]"
"[1, 1000, 1000]","[1, 1000, 1000]","[1, 1000, 1000]"
"[0, 1, 1]","[1, 1000, 1000]","[0, 1, 1]"
"[0, 1, 1]","[1, 1000, 1000]","[0, 1, 1]"
"[1, 1000, 1000]",,
