t0_j1,t0_j2,t0_j3,t0_j4,t0_j5,t0_j6,t1_j1,t1_j2,t1_j3,t1_j4,t1_j5,t1_j6,t2_j1,t2_j2,t2_j3,t2_j4,t2_j5,t2_j6,t3_j1,t3_j2,t3_j3,t3_j4,t3_j5,t3_j6,t4_j1,t4_j2,t4_j3,t4_j4,t4_j5,t4_j6,t5_j1,t5_j2,t5_j3,t5_j4,t5_j5,t5_j6,t6_j1,t6_j2,t6_j3,t6_j4,t6_j5,t6_j6,t7_j1,t7_j2,t7_j3,t7_j4,t7_j5,t7_j6,t8_j1,t8_j2,t8_j3,t8_j4,t8_j5,t8_j6,t9_j1,t9_j2,t9_j3,t9_j4,t9_j5,t9_j6,t10_j1,t10_j2,t10_j3,t10_j4,t10_j5,t10_j6,t11_j1,t11_j2,t11_j3,t11_j4,t11_j5,t11_j6,t12_j1,t12_j2,t12_j3,t12_j4,t12_j5,t12_j6,t13_j1,t13_j2,t13_j3,t13_j4,t13_j5,t13_j6,t14_j1,t14_j2,t14_j3,t14_j4,t14_j5,t14_j6,t15_j1,t15_j2,t15_j3,t15_j4,t15_j5,t15_j6,t16_j1,t16_j2,t16_j3,t16_j4,t16_j5,t16_j6,t17_j1,t17_j2,t17_j3,t17_j4,t17_j5,t17_j6,t18_j1,t18_j2,t18_j3,t18_j4,t18_j5,t18_j6,t19_j1,t19_j2,t19_j3,t19_j4,t19_j5,t19_j6,t20_j1,t20_j2,t20_j3,t20_j4,t20_j5,t20_j6,t21_j1,t21_j2,t21_j3,t21_j4,t21_j5,t21_j6,t22_j1,t22_j2,t22_j3,t22_j4,t22_j5,t22_j6,t23_j1,t23_j2,t23_j3,t23_j4,t23_j5,t23_j6,t24_j1,t24_j2,t24_j3,t24_j4,t24_j5,t24_j6
-0.97529185,-1.9923834,-1.6073124,-0.950338,1.6637713,1.1858354,-0.975986,-3.601725,1.6440827,-2.5925565,1.6714684,-0.77280855,1.9064735,0.42163417,-1.7680842,-0.2555102,-1.7431573,0.40136424,-0.7772243,-3.9356172,1.8946383,3.4494133,-4.9341927,0.84785664,5.5059323,2.347551,1.8946984,-2.834301,-4.933781,-5.435292,-0.77722263,-2.1538727,-1.8952707,5.4605017,1.3493391,0.84819,-0.9135545,-2.3899252,-1.4092567,2.2940235,4.764753,-2.3851302,1.7233269,0.587497,-1.4102204,2.3174229,1.5707195,3.3911378,1.7233404,0.5888603,-1.4132125,-3.9643686,-4.713307,-2.8951478,1.5572094,0.6522632,-1.5088515,-3.9227934,1.3436569,-6.2041984,-1.0554403,-2.3425941,-1.5104835,2.4540524,-1.7348707,0.6151681,-1.0554812,-2.343172,-1.5104265,2.4509819,-1.7308041,3.7565312,1.5809675,0.38047025,-1.4538716,-3.7783828,1.420087,6.2831855,5.0964293,3.926902,-1.5494137,2.5509925,-1.9252837,0.4834748,1.4166095,5.538172,1.5471734,0.7776644,-5.1249146,-3.2371044,-1.1868417,3.9258287,-1.5481999,2.54799,-1.9258599,-5.8073807,-1.055381,3.9381633,-1.5059043,2.4492946,4.5414653,-5.6766973,-1.0554206,-3.7766838,1.5088273,0.8661248,-1.7390708,0.61072886,5.2268047,3.94068,-1.5124795,-3.8262687,4.5477796,3.7612715,-0.77724516,-2.1517181,-1.8973577,-0.824968,-4.9324083,0.84722894,-0.77724713,-2.1532395,-1.8944716,5.4555483,-4.9334974,0.8480429,5.166445,2.842873,1.6723167,-1.426467,2.6181705,-6.227067,5.3588595,4.3368063,-1.2789134,-0.41183257,2.4444587,2.5980377,-0.34013537,-1.3138002,-1.746259,-1.2939088,1.5258672,-0.90858704,-0.19473884,-1.8389368,-1.8153647,-0.8289904,1.5184703,1.385727
-0.97529185,-1.9923834,-1.6073124,-0.950338,1.6637713,1.1858354,-0.975986,-3.601725,1.6440827,-2.5925565,1.6714684,-0.77280855,1.9064735,0.42163417,-1.7680842,-0.2555102,-1.7431573,0.40136424,-0.7772243,-3.9356172,1.8946383,3.4494133,-4.9341927,0.84785664,5.5059323,2.347551,1.8946984,-2.834301,-4.933781,-5.435292,-0.77722263,-2.1538727,-1.8952707,5.4605017,1.3493391,0.84819,-0.9135545,-2.3899252,-1.4092567,2.2940235,4.764753,-2.3851302,1.7233269,0.587497,-1.4102204,2.3174229,1.5707195,3.3911378,1.7233404,0.5888603,-1.4132125,-3.9643686,-4.713307,-2.8951478,1.5572094,0.6522632,-1.5088515,-3.9227934,1.3436569,-6.2041984,-1.0554403,-2.3425941,-1.5104835,2.4540524,-1.7348707,0.6151681,-1.0554812,-2.343172,-1.5104265,2.4509819,-1.7308041,3.7565312,1.5809675,0.38047025,-1.4538716,-3.7783828,1.420087,6.2831855,5.0964293,3.926902,-1.5494137,2.5509925,-1.9252837,0.4834748,1.4166095,5.538172,1.5471734,0.7776644,-5.1249146,-3.2371044,-1.1868417,3.9258287,-1.5481999,2.54799,-1.9258599,-5.8073807,-1.055381,3.9381633,-1.5059043,2.4492946,4.5414653,-5.6766973,-1.0554206,-3.7766838,1.5088273,0.8661248,-1.7390708,0.61072886,5.2268047,3.94068,-1.5124795,-3.8262687,4.5477796,3.7612715,-0.77724516,-2.1517181,-1.8973577,-0.824968,-4.9324083,0.84722894,-0.77724713,-2.1532395,-1.8944716,5.4555483,-4.9334974,0.8480429,5.166445,2.842873,1.6723167,-1.426467,2.6181705,-6.227067,5.3588595,4.3368063,-1.2789134,-0.41183257,2.4444587,2.5980377,-0.34013537,-1.3138002,-1.746259,-1.2939088,1.5258672,-0.90858704,-0.19473884,-1.8389368,-1.8153647,-0.8289904,1.5184703,1.385727
-0.97529185,-1.9923834,-1.6073124,-0.950338,1.6637713,1.1858354,-0.975986,-3.601725,1.6440827,-2.5925565,1.6714684,-0.77280855,1.9064735,0.42163417,-1.7680842,-0.2555102,-1.7431573,0.40136424,-0.7772243,-3.9356172,1.8946383,3.4494133,-4.9341927,0.84785664,5.5059323,2.347551,1.8946984,-2.834301,-4.933781,-5.435292,-0.77722263,-2.1538727,-1.8952707,5.4605017,1.3493391,0.84819,-0.9135545,-2.3899252,-1.4092567,2.2940235,4.764753,-2.3851302,1.7233269,0.587497,-1.4102204,2.3174229,1.5707195,3.3911378,1.7233404,0.5888603,-1.4132125,-3.9643686,-4.713307,-2.8951478,1.5572094,0.6522632,-1.5088515,-3.9227934,1.3436569,-6.2041984,-1.0554403,-2.3425941,-1.5104835,2.4540524,-1.7348707,0.6151681,-1.0554812,-2.343172,-1.5104265,2.4509819,-1.7308041,3.7565312,1.5809675,0.38047025,-1.4538716,-3.7783828,1.420087,6.2831855,5.0964293,3.926902,-1.5494137,2.5509925,-1.9252837,0.4834748,1.4166095,5.538172,1.5471734,0.7776644,-5.1249146,-3.2371044,-1.1868417,3.9258287,-1.5481999,2.54799,-1.9258599,-5.8073807,-1.055381,3.9381633,-1.5059043,2.4492946,4.5414653,-5.6766973,-1.0554206,-3.7766838,1.5088273,0.8661248,-1.7390708,0.61072886,5.2268047,3.94068,-1.5124795,-3.8262687,4.5477796,3.7612715,-0.77724516,-2.1517181,-1.8973577,-0.824968,-4.9324083,0.84722894,-0.77724713,-2.1532395,-1.8944716,5.4555483,-4.9334974,0.8480429,5.166445,2.842873,1.6723167,-1.426467,2.6181705,-6.227067,5.3588595,4.3368063,-1.2789134,-0.41183257,2.4444587,2.5980377,-0.34013537,-1.3138002,-1.746259,-1.2939088,1.5258672,-0.90858704,-0.19473884,-1.8389368,-1.8153647,-0.8289904,1.5184703,1.385727
1.1833394,-0.9721353,1.2822917,1.248981,1.39809,-1.478757,-1.4453704,-3.4498463,1.3093784,0.6765901,-1.7291301,-0.14012596,-5.0101237,-1.1880752,1.635625,0.9903432,1.7035164,-0.24737015,-5.012289,-0.92675674,1.7875788,0.5856597,1.8108557,-3.4209297,-5.0123615,-0.926791,1.7866628,0.5841058,-4.475051,2.8652594,1.2704252,-5.522635,-1.7889752,-3.8104784,1.8139106,-0.27968335,4.798654,4.073992,-1.7632241,2.47809,4.7063136,0.1780522,1.036261,-0.9286907,1.7634249,0.67829925,1.522247,5.8456383,4.7986345,-3.8748364,1.7635549,0.6166517,-1.5773805,-2.9610453,-5.4019494,0.7501872,-1.6705548,2.5846696,1.3513469,-0.61023295,-1.6774317,4.0004253,-1.6752033,2.4319606,4.4782763,-3.1552823,-1.6801524,2.4157226,1.6706855,0.6683583,-1.8033478,-0.018684348,0.87945276,-1.0963234,1.6456994,1.0130839,-4.917215,5.590336,-5.505808,-0.70956254,1.56051,0.97961605,1.2464459,-0.77535087,0.7774707,5.5727468,1.5606768,0.97526777,-5.0283513,-3.9136832,-5.5059085,5.194241,2.1535797,-2.3771918,5.03454,2.3644142,-1.6792444,-3.8664324,1.6690618,0.66889936,-1.8052591,3.1235886,0.881235,-5.5335035,-1.6687351,-3.699831,1.3488456,2.5341978,0.88120985,5.451275,1.6727394,0.8248234,1.3536011,-3.7563293,-5.012434,5.355953,1.7878913,0.58369386,-4.469192,-0.27937868,-1.2410123,2.3477552,1.7889298,0.53197926,-1.2989017,-2.77003,0.8277656,-1.3181889,1.7163758,2.7017202,-5.58428,2.8526506,-5.1062994,-1.2256459,1.2997043,2.408742,-5.756362,-5.7551637,5.516626,5.072934,-1.6350932,-4.66609,4.6098914,-0.20634162,6.1080294,-1.5112916,-2.0519884,-4.0604343,4.7557974,5.1754384
1.1833394,-0.9721353,1.2822917,1.248981,1.39809,-1.478757,-1.4453704,-3.4498463,1.3093784,0.6765901,-1.7291301,-0.14012596,-5.0101237,-1.1880752,1.635625,0.9903432,1.7035164,-0.24737015,-5.012289,-0.92675674,1.7875788,0.5856597,1.8108557,-3.4209297,-5.0123615,-0.926791,1.7866628,0.5841058,-4.475051,2.8652594,1.2704252,-5.522635,-1.7889752,-3.8104784,1.8139106,-0.27968335,4.798654,4.073992,-1.7632241,2.47809,4.7063136,0.1780522,1.036261,-0.9286907,1.7634249,0.67829925,1.522247,5.8456383,4.7986345,-3.8748364,1.7635549,0.6166517,-1.5773805,-2.9610453,-5.4019494,0.7501872,-1.6705548,2.5846696,1.3513469,-0.61023295,-1.6774317,4.0004253,-1.6752033,2.4319606,4.4782763,-3.1552823,-1.6801524,2.4157226,1.6706855,0.6683583,-1.8033478,-0.018684348,0.87945276,-1.0963234,1.6456994,1.0130839,-4.917215,5.590336,-5.505808,-0.70956254,1.56051,0.97961605,1.2464459,-0.77535087,0.7774707,5.5727468,1.5606768,0.97526777,-5.0283513,-3.9136832,-5.5059085,5.194241,2.1535797,-2.3771918,5.03454,2.3644142,-1.6792444,-3.8664324,1.6690618,0.66889936,-1.8052591,3.1235886,0.881235,-5.5335035,-1.6687351,-3.699831,1.3488456,2.5341978,0.88120985,5.451275,1.6727394,0.8248234,1.3536011,-3.7563293,-5.012434,5.355953,1.7878913,0.58369386,-4.469192,-0.27937868,-1.2410123,2.3477552,1.7889298,0.53197926,-1.2989017,-2.77003,0.8277656,-1.3181889,1.7163758,2.7017202,-5.58428,2.8526506,-5.1062994,-1.2256459,1.2997043,2.408742,-5.756362,-5.7551637,5.516626,5.072934,-1.6350932,-4.66609,4.6098914,-0.20634162,6.1080294,-1.5112916,-2.0519884,-4.0604343,4.7557974,5.1754384
