iteration,UCB
1,20.405979691163463
2,28.37606172934932
3,32.9478293373279
4,32.891658954078494
5,36.46738712532316
6,37.64889157192353
7,38.18052738025269
8,39.29640234839565
9,39.22188058448504
10,40.03494294692207
11,5.33916152920866
12,39.93306674723694
13,9.917317152412226
14,43.326262660751325
15,36.41488948432206
16,39.1359832103543
17,38.90132492021496
18,40.17759395854542
19,22.832286039034443
20,23.632285701637286
21,39.89256962721218
22,40.31617584333204
23,40.46274005503515
24,40.52647256700755
25,40.81839976873475
26,40.9833230457425
27,41.045936255175626
28,24.304366691003295
29,29.61080609848566
30,30.71935837699201
31,39.84344296278112
32,11.236152544865913
33,30.719487998463492
34,40.57158544113864
35,40.812718586011115
36,8.395461983917727
37,40.87588532640303
38,41.36822203706416
39,41.33627587045071
40,41.35140228826741
41,41.55258801773722
42,34.03654041606474
43,35.14446564275807
44,14.568132039021739
45,35.878644576075594
46,36.203859010673995
47,35.344539216569665
48,36.59571240965826
49,34.7549771217069
50,41.18577951447479
51,41.19457263849291
52,25.818016995784806
53,35.38875449443092
54,29.117561565961473
55,36.19496367146782
56,37.500761813908625
57,37.77952789133262
58,38.17620640400174
59,38.418050521745016
60,31.762726557464596
61,38.508672737858426
62,37.919778280719655
63,32.64407660059896
64,38.57530186291113
65,38.320947594554866
66,38.55499823063868
67,38.94319822674228
68,38.086571687284824
69,39.15839056393672
70,39.44927350644778
71,39.018806087430384
72,38.04801216446205
73,38.95379082014749
74,39.263024310730316
75,39.410104271051026
76,39.41917347399862
77,39.701804763578345
78,36.07757655599931
79,39.78571388949726
80,39.65176459163777
81,39.77616812745833
82,39.642344741277675
83,39.52797597529768
84,39.78757058466897
85,37.56686898487735
86,39.02898334652949
87,39.517059333295244
88,39.15363381717988
89,39.49819138493143
90,40.14077015138268
91,39.91759698967778
92,39.481437002460964
93,39.35838833127082
94,39.32756947421002
95,39.36523005502019
96,39.66110414842165
97,39.65070310527083
98,39.40818438085273
99,39.602750739385584
100,39.48372159006091
101,39.76349824151177
102,39.78186660394198
103,39.88790929415303
104,39.84413953785736
105,39.98658012760228
106,39.859608478192406
107,40.040317347300764
108,40.04907217729798
109,39.92232820012905
110,39.922929369708015
111,39.876367378653114
112,39.89817143109179
113,40.0738860116004
114,40.07593824334605
115,39.92015735822882
116,39.90195607497521
117,39.80552936586723
118,39.38529805612914
119,39.189655542675055
120,39.756267302196456
121,39.94807272820518
122,40.11673359595942
123,39.999673491414406
124,39.96853057352753
125,39.8870366596679
126,39.94865755042185
127,40.20817857945611
128,39.98495442969489
129,39.92207500020248
130,39.84226072066342
131,39.76763413230802
132,39.83415068523208
133,39.9399979703085
134,39.949690708134135
135,40.0162279104438
136,40.04053198768112
137,40.119695266795304
138,39.967997825480964
139,39.987453391421155
140,40.02609325112869
141,40.002551262990224
142,40.018613103583206
143,39.93930017716918
144,38.978027831829884
145,39.45663392893187
146,40.06918658720307
147,40.252158477597106
148,39.605266376312706
149,40.0946013496928
150,39.99322026998653
151,40.09363798420952
152,40.13924564793595
153,40.175801459548005
154,40.068048836338555
155,40.20810591120504
156,40.12609666946323
157,40.00285604779818
158,35.01481112211821
159,38.530124963089804
160,39.39807119776284
161,33.935678654593886
162,39.245873991614054
163,39.86403337323978
164,39.5663741750945
165,40.19984594303151
166,40.13164289205891
167,40.21079471174706
168,40.21314755229441
169,39.916039590518174
170,39.96218417770185
171,39.995242200126164
172,40.03526273929386
173,40.104534913038734
174,40.08106181557444
175,40.13517792971065
176,40.08224656332451
177,40.09090264313208
178,40.055605384693216
179,40.03904929273009
180,40.12632755091919
181,39.902578991754474
182,39.709656059602324
183,39.8067152399085
184,40.2293840975552
185,40.228211505295505
186,40.227281934849266
187,40.247315678197495
188,40.43726392139674
189,39.07633319728895
190,39.37304947168983
191,39.633002034490765
192,39.941583101473775
193,39.90725512959663
194,40.03841222174133
195,39.9663478773793
196,40.01779808184526
197,39.83613785226393
198,40.01672485223726
199,40.107030347277366
200,39.84764048065815
